time_epoch,time_str,real_id,x,y,camera_id
1785723259.521,09:14:19,Lon_Vang_02,0.6893,0.4056,cam1
1785723260.540,09:14:20,Lon_Vang_02,0.7196,0.4019,cam1
1785723261.550,09:14:21,Lon_Vang_02,0.7232,0.4074,cam1
1785723262.563,09:14:22,Lon_Vang_02,0.6732,0.3611,cam1
1785723263.591,09:14:23,Lon_Vang_02,0.6732,0.3574,cam1
1785723264.604,09:14:24,Lon_Vang_02,0.6893,0.3759,cam1
1785723265.611,09:14:25,Lon_Vang_02,0.6018,0.3611,cam1
1785723266.637,09:14:26,Lon_Vang_02,0.5946,0.3611,cam1
1785723267.660,09:14:27,Lon_Vang_02,0.6518,0.3704,cam1
1785723268.683,09:14:28,Lon_Vang_02,0.6589,0.3667,cam1
1785723269.693,09:14:29,Lon_Vang_02,0.6464,0.3778,cam1
1785723270.704,09:14:30,Lon_Vang_02,0.6304,0.3722,cam1
1785723271.730,09:14:31,Lon_Vang_02,0.7375,0.3370,cam1
1785723272.873,09:14:32,Lon_Vang_02,0.5857,0.3000,cam1
1785723273.916,09:14:33,Lon_Vang_02,0.3750,0.2537,cam1
1785723274.927,09:14:34,Lon_Vang_02,0.2661,0.2315,cam1
1785723276.040,09:14:36,Lon_Vang_02,0.3500,0.3315,cam1
1785723277.059,09:14:37,Lon_Vang_02,0.2714,0.3648,cam1
1785723278.077,09:14:38,Lon_Vang_02,0.4375,0.4111,cam1
1785723279.107,09:14:39,Lon_Vang_02,0.6393,0.4222,cam1
1785723280.119,09:14:40,Lon_Vang_02,0.6536,0.4167,cam1
1785723281.130,09:14:41,Lon_Vang_02,0.4036,0.3944,cam1
1785723282.140,09:14:42,Lon_Vang_02,0.7607,0.4722,cam1
1785723283.157,09:14:43,Lon_Vang_02,0.7554,0.2315,cam1
1785723284.177,09:14:44,Lon_Vang_02,0.7339,0.3259,cam1
1785723285.192,09:14:45,Lon_Vang_02,0.6571,0.3648,cam1
1785723286.208,09:14:46,Lon_Vang_02,0.5857,0.3481,cam1
1785723287.219,09:14:47,Lon_Vang_02,0.5750,0.3500,cam1
1785723288.249,09:14:48,Lon_Vang_02,0.4286,0.3167,cam1
1785723289.273,09:14:49,Lon_Vang_02,0.5018,0.3500,cam1
1785723290.284,09:14:50,Lon_Vang_02,0.5393,0.3537,cam1
1785723291.299,09:14:51,Lon_Vang_02,0.6375,0.2722,cam1
1785723292.324,09:14:52,Lon_Vang_02,0.8518,0.2481,cam1
1785723302.370,09:15:02,Lon_Xanhduong_04,0.3875,0.3111,cam1
1785723303.387,09:15:03,Lon_Xanhduong_04,0.4321,0.3389,cam1
1785723303.927,09:15:03,Lon_Vang_02,0.7839,0.2074,cam1
1785723304.399,09:15:04,Lon_Xanhduong_04,0.3804,0.6926,cam1
1785723304.951,09:15:04,Lon_Vang_02,0.6732,0.3000,cam1
1785723305.411,09:15:05,Lon_Xanhduong_04,0.3036,0.6426,cam1
1785723305.968,09:15:05,Lon_Vang_02,0.6268,0.2481,cam1
1785723306.425,09:15:06,Lon_Xanhduong_04,0.2714,0.6444,cam1
1785723306.977,09:15:06,Lon_Vang_02,0.7125,0.2537,cam1
1785723307.437,09:15:07,Lon_Xanhduong_04,0.4036,0.7278,cam1
1785723307.991,09:15:07,Lon_Vang_02,0.9071,0.3111,cam1
1785723308.474,09:15:08,Lon_Xanhduong_04,0.4446,0.7370,cam1
1785723309.009,09:15:09,Lon_Vang_02,0.8893,0.2759,cam1
1785723309.481,09:15:09,Lon_Xanhduong_04,0.4143,0.6870,cam1
1785723310.026,09:15:10,Lon_Vang_02,0.8911,0.2370,cam1
1785723310.498,09:15:10,Lon_Xanhduong_04,0.4054,0.6704,cam1
1785723311.054,09:15:11,Lon_Vang_02,0.8875,0.1926,cam1
1785723311.529,09:15:11,Lon_Xanhduong_04,0.4446,0.6944,cam1
1785723312.069,09:15:12,Lon_Vang_02,0.9286,0.2944,cam1
1785723312.542,09:15:12,Lon_Xanhduong_04,0.4607,0.7537,cam1
1785723313.078,09:15:13,Lon_Vang_02,0.9464,0.2907,cam1
1785723313.552,09:15:13,Lon_Xanhduong_04,0.4679,0.7278,cam1
1785723314.110,09:15:14,Lon_Vang_02,0.9607,0.2685,cam1
1785723314.570,09:15:14,Lon_Xanhduong_04,0.4857,0.7111,cam1
1785723315.117,09:15:15,Lon_Vang_02,0.9000,0.2056,cam1
1785723316.127,09:15:16,Lon_Vang_02,0.8571,0.4426,cam1
1785723317.137,09:15:17,Lon_Vang_02,0.9250,0.7370,cam1
1785723321.149,09:15:21,Lon_Vang_02,0.7107,0.4648,cam1
1785723322.159,09:15:22,Lon_Vang_02,0.5393,0.5204,cam1
1785723323.169,09:15:23,Lon_Vang_02,0.6268,0.5259,cam1
1785723324.201,09:15:24,Lon_Vang_02,0.5554,0.5352,cam1
1785723325.212,09:15:25,Lon_Vang_02,0.5161,0.5593,cam1
